,Address:,Architects:,Building completed,Demolished,Name of Building:,Notes:,Type of Building:
2179,444 Yonge Street,"Allward & Gouinlock (firm)
Bogdon Joseph
Carlu Jacques
Ingleson A.M.
Webb Zerafa Menkes Housden (firm)",c1930s,,College Park,"Originally Eaton's College Street (department store and office building) by Ross & Macdonald with Sproatt & Rolph, 1928-1930.  Apartment house and office building additions by Allward & Gouinlock, A.M. Ingleson & Associates, Josepg Bogdan, and Webb Zerafa Menkes Housden, 1977 and onwards.",Shopping Complexes
2180,5095 Yonge Street,Page + Steele Inc. Archts & Planrs,2000,,Empress Walk,"Empress Walk is a retail development that is associated with two condominium towers:  the Royal Pinnacle at 33 Empress Avenue, and the Pinnacle at 8 Hillcrest Avenue.",Shopping Complexes
2181,5385 Yonge Street,,196?,,Northtown Shopping Centre,,Shopping Complexes
2182,0 York Mills Road,Morgan Earl,,,York Mills Shopping Centre,address may be incorrect.,Shopping Complexes
2183,1277 York Mills Road,"Fliess Henry
Murray James",,,Parkwoods Shopping Centre,,Shopping Complexes
2184,0 Yorkville Avenue,Diamond & Myers (firm),,,York Square,,Shopping Complexes
2185,0 Browns Line,,,,Browns Line Square,"Proposed ""plaza"" that will feature a 24"" light standard, concrete planters, decoarative paving, etc.",Squares
2186,10 Court Street,"Carruthers Shaw & Partners Ltd.
Rosenberg Janet",,,Courthouse Square,"This site is located behind the former York County Courthouse on Adelaide Street East.  The name is in commemoration of the original courthouse square lands.  Until 1839, it was the location on public whippings and hangings.",Squares
2187,100 Queen Street West,"Parkin John B.
Revell Viljo",1965,,Nathan Philips Square,SEE ALSO:  City Hall at no.100 Queen Street West,Squares
2188,0 Yonge Street,"Gray J. Wilson
Knox Elliot & Jarvis (firm)
Page & Steele (firm)
Thom Partnership (firm)",1890-1892,,Confederation Square,"Originally the Confederation Life Building at no. 20 Richmond Street East.  Renovation by the Thom Partnership in 1981-1982.  Redevelopment of the site by Page & Steele, 1988.",Squares
2189,220 Yonge Street,"Thom Partnership (firm)
Zeidler Eberhard",c1977,,Trinity Square,Located behind the Eaton Centre and beside Trinity Church.,Squares
2190,0 Bathurst Street,,1926,,Maple Leaf Stadium,,Stadiums
2191,40 Bay Street,"Brisbin Brook Beynon (firm)
Ferris & Quinn Associates (firm)
II BY IV Design (firm)
Kearns Mancini Architects (firm)
Kuwabara Payne McKenna Blumberg (firm)",1997,,Air Canada Centre,SEE ALSO:  Postal Delivery Building under a Building Name search.,Stadiums
2192,277 Bloor Street West,,1898,,Varsity Stadium,,Stadiums
2193,300 Bremner Boulevard,"Ferris & Quinn Associates (firm)
Snow Michael",,,Skydome,,Stadiums
2194,0 Exhibition Place,Marani & Morris (firm),1948,,Exhibition Stadium,,Stadiums
2195,0 Lake Shore Boulevard West,,,,Coronation Park,,Stadiums
2196,232 Bay Street,"George & Moorehouse (firm)
Maw S.H.",1937,,Toronto Stock Exchange,Moved to First Canadian Place in 1983.  See also: the Exchange Tower at 140 King Street West.,Stock Exchanges
2197,232 Bay Street,Lyle John,1912,1937,Toronto Stock Exchange (1st),"In 1937, this building was replaced by the present Exchange building, now part of the Design Exchange.  SEE ALSO: 234 Bay St.",Stock Exchanges
2198,140 King Street West,Bregman + Hamann Architects,1983,,Exchance Tower,"Bregman & Hamann, 1983.   Houses the Toronto Stock Exchange on the 3rd to 6th floors. Connected to First Bank Tower (50 King St. West, 1972-75).   (Not to be confused with the Ernst & Young Tower, which was built over the 1937 Stock Exchange in 1991.",Stock Exchanges
2199,0 Binscarth Road,,,,Binscarth Road,,Streetlights
2200,0 Alfresco Lawn,,,,Alfresco Lawn,Four of the street's five houses were built c1902 in the Cape-Cod style.,Streets
2201,0 Baby Point Road,,,,Baby Point Road,,Streets
2202,0 Bartlett Avenue,,,,Barber Avenue,,Streets
2203,0 Bloor Street West,,,,Bloor Street West,,Streets
2204,0 Bremner Boulevard,,,,Bremner Boulevard,,Streets
2205,0 Charles Street East,,,,Charles Street West,,Streets
2206,0 Cherry Street,,,,Cherry Street,,Streets
2207,0 College Street,Brown and Storey Archts. (firm),,,College Street,,Streets
2208,0 Coxwell Avenue,,,,Coxwell Avenue,,Streets
2209,0 Danforth Avenue,,,,Danforth Avenue,,Streets
2210,0 Dowling Avenue.,,,,Dowling Avenue,,Streets
2211,0 Draper Street,,,,Draper Street,,Streets
2212,0 Duncan Street,,,,Duncan Street,,Streets
2213,0 Edward Street,,,,Edward Street,,Streets
2214,0 Grandravine Drive,,,,Grace Street,,Streets
2215,0 Grenview Boulevard,,,,Grenview Boulevard,,Streets
2216,0 Jackson Avenue,,,,Jackson Avenue,,Streets
2217,0 Jarvis Street,,,,Jarvis Street,,Streets
2218,0 Kendal Avenue,,,,Kendal Avenue,,Streets
2219,0 King George's Road,,,,,,Streets
2220,0 King's Garden Boulevard,,,,King's Garden Boulevard,,Streets
2221,0 Kings Lynn Road,,,,Kings Lynn Road,,Streets
2222,0 Kingscourt Drive,,,,Kingscourt Drive,,Streets
2223,0 Kingsmill Road,,,,Kingsmill Road,,Streets
2224,0 Kingsway (The),,,,,,Streets
2225,0 Kingsway Crescent,,,,,,Streets
2226,0 Montrose Avenue,,,,Montrose Avenue,,Streets
2227,0 Prince Edward Drive,,,,Prince Edward Drive,,Streets
2228,0 Queen Mary's Drive,,,,,,Streets
2229,0 Queens Quay West,,,,Queens Quay West,,Streets
2230,0 Reid Avenue (no longer?),,,,Reid Avenue,,Streets
2231,0 Roncesvalles Avenue,,,,Roncesvalles Avenue,,Streets
2232,0 Royal York Road,,,,Royal York Road,,Streets
2233,0 Scollard Street,,,,Scollard Street,,Streets
2234,0 Simpson Avenue,,,,Simpson Avenue,,Streets
2235,0 Spadina Avenue,,,,Spadina Avenue,,Streets
2236,0 Stonecutter's Lane,,,,,,Streets
2237,0 Strath Avenue,,,,,,Streets
2238,0 University Avenue,,,,University Avenue,,Streets
2239,0 Wallingford Road,,,,,,Streets
2240,0 Wendover Road,,,,Wendover Road,,Streets
2241,0 Westholme Avenue,,,,Westholme Avenue,,Streets
2242,0 Willingdon Boulevard,,,,Willingdon Boulevard,,Streets
2243,0 Woodlawn Avenue West,,,,Woodlawn Avenue,,Streets
2244,0 Yonge Street,Reuber Paul,,,Yonge Street,,Streets
2245,0 Yonge Street,,,,Yonge & Bloor Intersection,,Streets
2246,214 College Street,"Chapman Alfred
Chapman Howard
Walker Howard
Wickson & Gregg (firm)",1906,,Koffler Student Services Cntr.,Originally the Public Reference Library.,Student Unions
2247,4700 Keele Street,Diamond A.J. Donald Schmitt,,,York University Student Centre,York University.,Student Unions
2248,3359 Mississauga Road North,Kohn Shnier Architects (firm),,,Erindale Student Centre,Part of University of Toronto,Student Unions
2249,32 Atlantic Avenue,Kearns Mancini Architects (firm),,,Nelvana Studios,,Studios
2250,24 Jefferson Avenue,Natale Scott Browne (firm),1986,,Caverhill Rusell Design Bldg.,,Studios
2251,284 King Street East,Kuwabara Payne McKenna Blumberg (firm),1987-1989,,Tudhope Studios,Office and Design studio of Tudhope Associates.  Features a loft conversion.,Studios
2252,0 Don Mills Neighbourhood,,,,Parkway East,,Suburbs
2253,0 Lawrence Park Neighbourhd,,,,Lawrence Park Neighbourhood,,Suburbs
2254,0 Steeles Avenue East,,,,Morningside Heights,,Suburbs
2255,0 Wychwood Park Neighbourhd,,,,,,Suburbs
2256,0 Sheppard Avenue,"Diamond A.J. Donald Schmitt
Moriyama & Teshima (firm)
NORR Partnership Ltd. (firm)",,,Sheppard Subway System,,Subway Stations
2257,0 Spadina Subway Line,Adamson Associates (firm),,,Spadina Subway Station,"Porcelain enamel mural entitled ""Tempo"" by artist Gordon Rayner.",Subway Stations
2258,0 Spadina Subway Line,Dunlop Farrow Aitken (firm),,,Dupont Subway Station,,Subway Stations
2259,0 Spadina Subway Line,T.T.C. Architects (firm),,,St. Clair Subway Station,,Subway Stations
2260,0 Spadina Subway Line,Erickson Arthur,,,Eglinton Subway Station,,Subway Stations
2261,0 Spadina Subway Line,Adamson Associates (firm),,,Glencairn Subway Station,,Subway Stations
2262,0 Spadina Subway Line,Dunlop Farrow Aitken (firm),,,Lawrence Subway Station,,Subway Stations
2263,0 Spadina Subway Line,Erickson Arthur,,,Yorkdale Subway Station,,Subway Stations
2264,0 Spadina Subway Line,T.T.C. Architects (firm),,,Wilson Subway Station,,Subway Stations
2265,650 Dupont Street,Rebanks Leslie,1996,,Loblaws - Christie/Dupont,,Supermarkets
2266,10 Lower Jarvis Street,Rebanks Leslie,,,Loblaws - Queen's Quay,,Supermarkets
2267,40 Fairfax Crescent,,,,W.A. Porter Memorial Swim.P,W.A. Memorial Swimming Pool.  Part of Memorial Collegiate.,Swimming Pools
2268,44 Montgomery Road,"Diamond A.J. Donald Schmitt
Stratton Bruce",C1999,,Memorial Pool and Health Club,Part of a facility that combines recreational facilities with an elementary school (Our Lady of Sorrows).,Swimming Pools
2269,0 Sunnyside Beach,Chapman Oxley & Bishop (firm),1922,,Sunnyside Bathing Pavilion,,Swimming Pools
2270,1950 Bathurst Street,"Brenzel Jack
Parkin John B.",1938,,Holy Blossom Temple (Bathurst st.),,Synagogues
2271,25 Bellevue Avenue,Swartz Benjamin,1923,,First Russian Congregation,,Synagogues
2272,115 Bond Street,Siddall John,1895,,Holy Blossom Temple (first),,Synagogues
2273,28 Denison Square,Swartz Benjamin,1926-27,,Kiever Synagogue,Synagogue of the Congregation Rodfei Sholom Anshei Kiev.  The first building of Jewish significance in the province to be designated  (1979) as historical under the Ontario Heritage Act,Synagogues
2274,1445 Eglinton Avenue West,"Markson Jerome
Markson Borooah Hodgson (firm)",,,Beth Shalom Synagogue,Copper entry doors by Ron Baird.   Frieze by Aba Bayevsky.  Stained Glass by Mimi Gelman.,Synagogues
2275,0 Henry Street,Brow Benjamin,1922,,Beth Jacob Synagogue,now the Holy Trinity Russian Orthodox Church.,Synagogues
2276,109 Kenilworth Avenue,"Brown J. Francis
Hunt W.G.",1985,,Beach Hebrew Institute,SEE ALSO:  Kenilworth Avenue Baptist Church at the same address.,Synagogues
2277,56 Maria Street,Ellis & Connery (firm),1911,,Knesseth Israel Synagogue,,Synagogues
2278,10 St. Andrews Street,Kaplan & Sprachman (firm),1930,,Anshe Minsk Synagogue,,Synagogues
2279,0 University Avenue,Symons & Rae (firm),1907,yes,Goel Tzedec Synagogue,,Synagogues
2280,0 Cypress Street,,c1880s,,Craig & Wickett Tannery,,Tanneries
2281,12 Clinton Street,,,,Monarch tavern,Tavern has been in operation (in one form or another) at least since 1927.,Taverns
2282,466 Dovercourt Road,,,,Matador,,Taverns
2283,467 Jarvis Street,,,,Red Lion,,Taverns
2284,393 King Street East,,1846-1847,1988,Derby Tavern,,Taverns
2285,5 King Street West,,,,Nag's Head Tavern,Facade to become part of the condominium complex at 1 King Street West.,Taverns
2286,469 King Street West,,,,Temple Bar,,Taverns
2287,600 King Street West,Kearns Mancini Architects (firm),1890s,,Rotterdam Brewing Co.,,Taverns
2288,667 King Street West,,,,Wheat Sheaf Tavern,"Established c.1848 or earlier, the Wheat Sheaf is the oldest continually operating tavern in Toronto.",Taverns
2289,423 Queen Street East,,1862,1990,,"Original owner:  Charles Moore.   Original tennant, Thomas Bridgewater, operated a tavern on the ground floor.",Taverns
2290,650 Queen Street West,Kearns Mancini Architects (firm),1989,,Boom Boom Room,Actual street address was 650b Queen Street West.  Occupied the basement and first floors of the Heartbreak Hotel.,Taverns
2291,732 Queen Street West,,,,Sanctuary Vampire Sex Bar,"Club closed July 1, 2000.",Taverns
2292,14 Roncesvalles Avenue,,1938,,Edgewater Hotel,,Taverns
2293,0 Steeles Avenue,,c1830,,Green Bush Inn,"Tavern, situated near Yonge and Steeles, initally known as the Green Bush Inn, and renamed the Steeles Hotel.  Reportedly one of the meeting places of Upper Canada rebels during the 1834 Rebellion.",Taverns
2294,0 Winchester Street,,1848,c.1976,Don Vale House,,Taverns
2295,201 Yonge Street,"Dick David
English Jay
Etherington A. Bruce",,1960;1988,Colonial Tavern,Occupied nos. 201-203 Yonge Street.  Formerly the site of the Scholes Hotel (until 1948).  A fire destroyed to 70 year-old building in 1960.  A new  Colonial Tavern on the same site was degined by architect Bruce Etherington and was a simple two-storey rectangular box.  Demolished in 1988.  The site remained empty until the Mercer Union Gallery sponsored the erection of a temporary site-specific artwork by Japanese Artist Tadashi Kawamata (see instance #3 at the same address).,Taverns
2296,225 Yonge Street,,,,Silver Rail,"Occupied the ground floor corner of the Ryrie Building.  Opened in 1947, the Silver Rail became Ontario's first licenced coctail lounge.",Taverns
2297,817 Yonge Street,,,Feb 2001,Morrissey Tavern,Replaced by a condominium.  SEE: 20 Collier St.,Taverns
2298,97 Lee Avenue,,1906-1907,,Beach Central Office,"This was the second telephone exchange in the Beaches.  It was renovated as apartments in 1945, and after a second renovation in 1980, it was re-named the ""Beaches Exchange"".",Telephone Exchanges
2299,27 Adelaide Street West,Lamb Thomas,,1938,Regent Theatre,Formerly the Grand Opera House. Remodelled in 1916 by Thomas Lamb in 1916 to become Toronto's largest facility devoted entirely to motion pictures.,Theatres
2300,125 Bathurst Street,,,,Factory Theatre,,Theatres
2301,736 Bathurst Street,,c1885,,Bathurst Street Theatre,Formerly a United Church,Theatres
2302,4588 Bathurst Street,Markson Jerome,,,Leah Posluns Theatre,,Theatres
2303,24 Berkeley Street,"Hancock Noel
Simpson David",c1890?,,Canadian Stage Company,,Theatres
2304,24 Berkeley Street,,,,Toronto Free Theatre,SEE:  Canadian Stage Company at Nos. 24 & 26 Berkeley St.,Theatres
2305,26 Berkeley Street,,1880,,Canadian Stage Company,"Originally part of the Gasworks, and built for the Consumers Gas Company c.1880",Theatres
2306,70 Berkeley Street,Thom Ron,,,Alumnae Theatre,Intially the No. 4 Firehall (1859; rebuilt in 1903 by Frank A. Wickson).  Remodelled as the Firehall Theatre by Ron Thom in 1971.,Theatres
2307,100 Bloor Street West,"Brisbin Brian
Hounsom Eric",1946-1949,"1986,2000",University Theatre,,Theatres
2308,506 Bloor Street West,,1905,,Bloor Cinema,"Opened as the vaudeville Madison movie house in 1905.   Became the Midtown movie theatre in 1941, the Capri in 1966, and the Eden in the 1970s.  Reopened on Boxing Day in 1980 as the Bloor Cinema, retaining the 1940s decor.",Theatres
2309,506 Bloor Street West,,,,Midtown Thetare,SEE:  Bloor Cinema,Theatres
2310,2223 Bloor Street West,"Chapman & Oxley (firm)
E.R.A. Architects Inc. (firm)
Petroff Partnership Architects",,,Runnymede Theatre,,Theatres
2311,296 Brunswick Avenue,,,,Poor Alex Theatre,,Theatres
2312,18 Carlton Street,English Jay,,,Odeon Theatre,Street address may also be no.20 Carlton Street.  Now the site of a Cineplex Odeon theatre.,Theatres
2313,93 Charles Street West,Smith Peter,,,Isabel Bader Theatre,Part of Victoria University at the University of Toronto,Theatres
2314,290 College Street,Stanford J. Hunt,,,Garden Theatre,,Theatres
2315,608 College Street,Swartz Benjamin,,,Royal (The),"Initially named the Pylon Theatre, and most recently the Golden Princess.",Theatres
2316,147 Danforth Avenue,"Chown H.J.
Crane C. Howard
Hynes & Feldman & Watson (firm)",,,Music Hall,"Initially called Allen's Theatre.  Purchased by the Famous Players Canadian Corp. in 1929, altered by H.J. Chown and renamed the Century Theatre around that time.  The Century Theatre closed in the early 1980s, and has since been known as the ""Music Hall""",Theatres
2317,2942 Dundas Street West,Beggs N.G.,1913,c1950,Beaver Theatre,,Theatres
2318,400 Eglinton Avenue West,Kaplan & Sprachman (firm),,,Eglinton Theatre,,Theatres
